Column1,Column2,Column3,Column4,Column5,Column6,,
令和5年度午前第11問,民法,イ,動産の売買の先取特権は、動産の代価及びその利息に関し、債務者の総財産について存在する。,×,動産の売買の先取特権は「動産の先取特権」であり、目的動産の上にのみ存在する（民法311条6号）。債務者の総財産の上に存在するのは「一般の先取特権」である。,,
令和5年度午前第11問,民法,ウ,動産質権は、設定行為に別段の定めがない場合には、質物の隠れた瑕疵によって生じた損害の賠償を担保しない。,×,質権の被担保債権の範囲には、別段の定めがない限り「質物の隠れた瑕疵によって生じた損害の賠償」も含まれる（民法346条）。,,
令和5年度午前第11問,民法,エ,不動産質権者は、設定行為に別段の定めがあっても、その債権の利息を請求することができない。,×,不動産質権者は原則として利息を請求できないが（民法358条）、設定行為に別段の定めがある場合は利息を請求することができる（民法359条）。,,
令和5年度午前第11問,民法,オ,抵当権は、金銭債権以外の債権を担保するためにも設定することができる。,○,物の引渡し債権など、金銭債権以外の債権（債務不履行時に金銭債権に転化するもの）を被担保債権として抵当権を設定することも可能である。,,
令和5年度午前第12問,民法,ア,はい。Aが甲建物を留置している間は、必要費償還請求権の消滅時効は進行しません。,×,留置権の行使は、被担保債権の消滅時効の進行を妨げない（民法300条）。,,
令和5年度午前第12問,民法,イ,はい。Aは、Bの選択に従い、その支出した金額又は増価額を償還させることができます。,○,有益費の償還については、所有者（B）の選択に従い、支出金額又は増価額を償還させることができる（民法299条2項、196条2項）。,,
令和5年度午前第12問,民法,ウ,はい。留置権は、当然に消滅します。,×,留置権者が債務者の承諾を得ずに留置物を賃貸等した場合は、債務者は留置権の消滅を「請求」することができるのであり（民法298条3項）、当然に消滅するわけではない。,,
令和5年度午前第12問,民法,エ,いいえ。Aは、Bが取得した保険金請求権に物上代位することはできません。,○,留置権には優先弁済権がないため、物上代位性も認められない。,,
令和5年度午前第12問,民法,オ,はい。Aは、Bに対し、留置権を主張することができます。,○,留置権は物に対する権利（物権）であるため、目的物の返還を求める者（所有者Cであっても、賃貸人Bであっても）に対して主張することができる。,,
令和5年度午前第13問,民法,ア,一般の先取特権者は、不動産について登記をしなくても、不動産売買の先取特権について登記をした者に優先して当該不動産から弁済を受けることができる。,×,不動産売買の先取特権のような「特別の先取特権」が登記されている場合、一般の先取特権はこれに優先しない（民法329条2項）。,,
令和5年度午前第13問,民法,イ,同一の目的物について共益の費用の先取特権者が数人あるときは、各先取特権者は、その債権額の割合に応じて弁済を受ける。,○,同順位の先取特権者は、その債権額の割合に応じて弁済を受ける（民法333条）。,,
令和5年度午前第13問,民法,ウ,一般の先取特権者は、債務者の財産に不動産と不動産以外の財産とがある場合には、まず不動産から弁済を受けなければならない。,×,一般の先取特権者は、まず「不動産以外の財産（動産等）」から弁済を受け、なお不足がある場合にのみ不動産から弁済を受けることができる（民法335条1項）。,,
令和5年度午前第13問,民法,エ,同一の不動産について売買が順次された場合には、売主相互間における不動産売買の先取特権の優先権の順位は、売買の前後による。,○,不動産売買の先取特権が競合する場合、その優先権の順位は、売買の前後（先に売った者が優先）による（民法331条3項）。,,
令和5年度午前第13問,民法,オ,不動産の売買の先取特権の効力を保存するためには、売買契約と同時に、不動産の代価又はその利息の弁済がされていない旨を登記しなければならない。,○,不動産売買の先取特権の保存要件（民法340条）の通りである。,,
令和5年度午前第14問,民法,ア,質権者は、質物から生ずる果実を収取し、他の債権者に先立って、被担保債権の弁済に充当することができる。,○,質権者の果実収取権（民法350条で準用する297条1項）。,,
令和5年度午前第14問,民法,イ,質権の設定は、債権者にその目的物を現実に引き渡さなければ、その効力を生じない。,×,動産質権の設定は目的物を引き渡すことによって効力を生ずるが（民法344条）、現実の引渡しに限らず、簡易の引渡しや指図による占有移転でも可能である（ただし占有改定は不可・民法345条）。,,
令和5年度午前第14問,民法,ウ,質権者は、その権利の存続期間内において、質権設定者の承諾がなくとも、質物を第三者に引き渡して、当該第三者のために転質権を設定することができる。,○,質権者は、自己の責任において質物について転質をすることができる（責任転質・民法348条）。設定者の承諾は不要である。,,
令和5年度午前第14問,民法,エ,質権者は、質権者による質物の使用について質権設定者の承諾がなく、かつ、目的物の保存のために質物の使用の必要がない場合であっても、質物の使用をすることができる。,×,質権者は、質物を使用、賃貸等するには設定者の承諾を得なければならず、承諾なしに使用できるのは「保存に必要な使用」に限られる（民法350条、298条2項）。,,
令和5年度午前第14問,民法,オ,質権設定者が被担保債権の弁済前に質権者に対して訴訟を提起して目的物の返還を請求し、質権者が質権の抗弁を主張した場合には、裁判所は、当該請求を棄却するとの判決をするのではなく、被担保債権の弁済と引換えに目的物を引き渡せとの引換給付判決をしなければならない。,×,留置権の抗弁の場合は引換給付判決となるが、質権は担保物権であり、被担保債権が弁済されるまでは質権設定者は目的物の返還請求権を有しないため、請求自体が理由なしとして「請求棄却判決」となる（判例）。,,
令和5年度午前第15問,民法,ア,根抵当権者は、利息その他の定期金を請求する権利を有するときは、その満期となった最後の2年分についてのみ、その根抵当権を行使することができる。,×,根抵当権は、極度額を限度として、発生した利息等の全額について行使できる（民法398条の3第1項）。最後の2年分に限定されるのは普通抵当権である（民法375条）。,,
令和5年度午前第15問,民法,イ,根抵当権の担保すべき債権の範囲を変更した場合において、元本の確定前にその変更について登記をしなかったときは、その変更をしなかったものとみなされる。,○,債権の範囲、債務者等の変更は、元本の確定前に登記をしなければ、その変更をしなかったものとみなされる（民法398条の4第3項）。,,
令和5年度午前第15問,民法,ウ,根抵当権者は、元本の確定前において、同一の債務者に対する他の債権者の利益のためにその根抵当権又はその順位を譲渡し、又は放棄することができる。,×,根抵当権については、元本の確定前は、抵当権の処分（根抵当権又はその順位の譲渡や放棄）をすることができない（民法398条の11第1項）。,,
令和5年度午前第15問,民法,エ,根抵当権者が破産手続開始の決定を受けたときは、根抵当権の担保すべき元本は、確定する。,×,根抵当権設定者又は債務者が破産手続開始の決定を受けたときは元本が確定するが、「根抵当権者」が破産した場合は元本の確定事由ではない（民法398条の20第1項4号）。,,
令和5年度午前第15問,民法,オ,他人の債務を担保するため根抵当権を設定した者は、元本の確定後において現に存する債務の額がその根抵当権の極度額を超えるときは、その極度額に相当する金額を払い渡し又は供託して、その根抵当権の消滅請求をすることができる。,○,物上保証人等の根抵当権消滅請求に関する記述として正しい（民法398条の22第1項）。,,
令和5年度午前第16問,民法,ア,Aが死亡したら履行するとの履行期を定めた債務の債務者は、Aが死亡した後に履行の請求を受けていなくとも、Aの死亡を知った時から遅滞の責任を負う。,○,不確定期限のある債務は、債務者がその期限の到来したことを知った時、又は履行の請求を受けた時のいずれか早い時から遅滞の責任を負う（民法412条2項）。,,
令和5年度午前第16問,民法,イ,指図証券に記載された期限の定めのある債務の債務者は、その期限の到来した時から遅滞の責任を負う。,×,指図証券等における債務は、期限到来後に所持人が証券を提示して履行の請求をした時から遅滞の責任を負う（民法412条の2第2項）。,,
令和5年度午前第16問,民法,ウ,詐害行為取消権に基づく受領物返還債務の債務者は、履行の請求を受けた時から遅滞の責任を負う。,○,詐害行為取消しに基づく原状回復（受領物返還）債務は、期限の定めのない債務として、履行の請求を受けた時から遅滞の責任を負う（最判昭37.10.9）。,,
令和5年度午前第16問,民法,エ,返還時期の定めのない貸金の返還債務の債務者は、履行の請求を受けた時から遅滞の責任を負う。,×,返還時期の定めのない消費貸借については、貸主が「相当の期間を定めて」催告をし、その期間が経過した時から遅滞となる（民法591条1項）。,,
令和5年度午前第16問,民法,オ,不法行為に基づく損害賠償債務の債務者は、履行の請求を受けた時から遅滞の責任を負う。,×,不法行為に基づく損害賠償債務は、催告（履行の請求）を要せず、不法行為の時から当然に遅滞に陥る（最判昭37.9.4）。,,
令和5年度午前第17問,民法,ア,AがBに対して債権を有しており、その債権を保全するために必要があるときは、Aは、Bが有する債権者代位権を行使することができる。,○,債権者代位権も債務者の有する権利として、これをさらに代位行使することが可能である（判例）。,,
令和5年度午前第17問,民法,イ,甲土地につき、AがBに対して所有権移転登記手続請求権を有し、BがCに対して所有権移転登記手続請求権を有しており、AがBのCに対する所有権移転登記手続請求権を代位行使することができるときは、Aは、Cに対し、甲土地につき、CからAへの所有権移転登記手続をすることを請求することができる。,×,債権者代位権の行使として登記手続を請求する場合、債務者（B）名義への移転登記を請求することはできるが、直接自己（A）への移転登記を請求することはできない（最判昭35.3.3）。,,
令和5年度午前第17問,民法,ウ,AがBに対して甲債権を有し、BがCに対して乙債権を有している場合には、Aが甲債権を被保全債権として乙債権を代位行使したとしても、乙債権について、消滅時効の完成は猶予されない。,×,代位債権者Aによる乙債権（第三債務者に対する債権）の裁判上の行使は、乙債権についての権利行使であるため、当然に乙債権の消滅時効の完成猶予等の効力を生じる。,,
令和5年度午前第17問,民法,エ,AがBに対して甲債権を有し、BがCに対して乙債権を有している場合には、Aが、Cに対して乙債権の代位行使に係る訴えを提起し、Bに対して訴訟告知をした後であっても、Bは、乙債権を第三者Dに譲渡することができる。,○,債権者が被代位権利を行使した場合であっても、債務者は被代位権利について自ら取立てその他の処分をすることを妨げられない（民法423条の5）。,,
令和5年度午前第17問,民法,オ,AがBに対して金銭債権である甲債権を有し、BがCに対して金銭債権である乙債権を有している場合において、Aが、乙債権を代位行使して、自己にその金銭の支払をするように求めたときは、CがBに対して乙債権につき同時履行の抗弁権を有していても、Cは、Aに対して、その同時履行の抗弁権をもって対抗することはできない。,×,第三債務者（C）は、債務者（B）に対して主張することができる抗弁（同時履行の抗弁権など）をもって、代位債権者（A）に対抗することができる（民法423条の4）。,,
令和5年度午前第18問,民法,ア,目的物の引渡しを要する請負契約においては、報酬は、仕事の目的物の引渡しと同時に、支払わなければならない。,○,請負の報酬は、目的物の引渡しを要するときは、引渡しと同時に支払わなければならない（民法633条）。,,
令和5年度午前第18問,民法,イ,目的物の引渡しを要する請負契約においては、請負人が仕事を完成した後であっても、その目的物の引渡しが完了するまでは、注文者は、いつでも損害を賠償して契約を解除することができる。,×,注文者が損害を賠償して任意に請負契約を解除できるのは、「請負人が仕事を完成しない間」に限られる（民法641条）。仕事完成後は引渡し前であっても解除できない。,,
令和5年度午前第18問,民法,ウ,注文者が破産手続開始の決定を受けたときは、請負人は、仕事を完成した後であっても、報酬の支払がされるまでは、注文者の破産手続開始を理由として請負契約を解除することができる。,×,注文者が破産手続開始の決定を受けた場合、請負人は契約を解除できるが、仕事を完成した後は解除することができない（民法642条1項ただし書）。,,
令和5年度午前第18問,民法,エ,請負人が注文者に引き渡した目的物の品質が請負契約の内容に適合しない場合には、その不適合が注文者の供した材料の性質によって生じたものであり、かつ、請負人がその材料が不適当であることを知らなかったときであっても、注文者は、請負人に対して、履行の追完の請求をすることができる。,×,不適合が注文者の供した材料の性質等によって生じたときは、請負人がその不適当であることを知って告げなかった場合を除き、注文者は追完請求等を行使できない（民法636条）。,,
令和5年度午前第18問,民法,オ,請負契約が仕事の完成前に解除された場合において、請負人が既にした仕事の結果のうち可分な部分の給付によって注文者が利益を受けるときは、請負人は、注文者が受ける利益の割合に応じて報酬を請求することができる。,○,請負契約が途中で解除された場合等で、既にした仕事の結果のうち可分な部分により注文者が利益を受けるときは、その割合に応じて報酬を請求できる（民法634条）。,,
令和5年度午前第19問,民法,ア,受任者は、委任者の許諾を得なくとも、やむを得ない事由があるときは、復受任者を選任することができる。,○,受任者は、委任者の許諾を得たとき、又はやむを得ない事由があるときでなければ、復受任者を選任することができない（民法644条の2第1項）。やむを得ない事由があれば許諾なしで選任可能。,,
令和5年度午前第19問,民法,イ,受任者は、委任事務を処理するのに必要と認められる費用を支出したときは、委任者に対し、その費用の償還を請求することができるが、支出の日以後におけるその利息の償還を請求することはできない。,×,受任者が委任事務を処理するのに必要と認められる費用を支出したときは、委任者に対し、その費用及び「支出の日以後におけるその利息」の償還を請求することができる（民法650条1項）。,,
令和5年度午前第19問,民法,ウ,受任者が第三者との間で委任事務を処理するのに必要と認められる金銭債務を負った場合において、受任者が委任者に対して自己に代わってその弁済をすることを請求したときは、委任者は、受任者に対して他の売買契約に基づき代金支払債権を有していても、受任者による当該請求に係る権利を受働債権とし、受任者に対する当該代金支払債権を自働債権として、相殺することができない。,○,受任者の委任者に対する代弁済請求権（民法650条2項）は、受任者へ金銭を支払うよう求める権利ではなく、第三者へ弁済するよう求める権利であるため、金銭債権を自働債権とする相殺の対象とはならない（最判平22.3.16）。,,
令和5年度午前第19問,民法,エ,受任者の利益をも目的とする委任については、その利益が専ら受任者が報酬を得ることによるものであるときであっても、これを解除した委任者は、受任者の損害を賠償する義務を負う。,×,委任の解除に伴う損害賠償義務（相手方に不利な時期等）について、その解除が「専ら報酬を得ることによるもの」である場合には、損害賠償義務を負わない（民法651条2項柱書かっこ書）。,,
令和5年度午前第19問,民法,オ,委任の解除をした場合には、その解除は、将来に向かってのみその効力を生ずる。,○,委任契約の解除は、将来に向かってのみその効力を生ずる（民法652条）。,,
令和5年度午前第20問,民法,ア,普通養子縁組の届出をするには、証人を要しない。,×,養子縁組の届出は、当事者双方及び「成年の証人二人以上」が署名した書面等でしなければならない（民法799条による739条2項準用）。,,
令和5年度午前第20問,民法,イ,養子となる者が15歳未満である場合において、その父が親権を停止されているときは、養子となる者の法定代理人による縁組の承諾について、当該父の同意は不要である。,×,養子となる者が15歳未満で法定代理人が代諾する場合、父母の同意を得なければならない。親権停止中の父であっても、「父母の一方が知れないとき、死亡したとき等」の例外事由に当たらない限り同意は必要である（民法797条2項等）。,,
令和5年度午前第20問,民法,ウ,特別養子縁組が成立するまでに18歳に達した者は、養子となることができない。,○,特別養子縁組の養子となる者は、原則として15歳未満でなければならず、例外要件を満たしても「18歳に達した者」は養子となることができない（民法817条の5）。,,
令和5年度午前第20問,民法,エ,養子に子がある場合には、養子縁組の日から、養子の子と養親及びその血族との間において、血族間におけるのと同一の親族関係を生ずる。,×,養子縁組の効力は縁組の日から生じるため、養子縁組「前」に出生していた養子の子と、養親及びその血族との間には法定血族関係は生じない。,,
令和5年度午前第20問,民法,オ,普通養子縁組の当事者の一方が死亡した場合において、その後に生存当事者が離縁をしようとするときは、家庭裁判所の許可を得て、これをすることができる。,○,いわゆる死後離縁。生存当事者は、家庭裁判所の許可を得て、離縁をすることができる（民法811条6項）。,,
令和5年度午前第21問,民法,ア,未成年者に対して最後に親権を行う者であっても、管理権を有しない場合には、遺言で未成年後見人を指定することはできない。,○,未成年者に対して最後に親権を行う者は、遺言で未成年後見人を指定することができるが、「管理権を有しない者」は除外されている（民法839条1項）。,,
令和5年度午前第21問,民法,イ,未成年後見人が欠けたときは、家庭裁判所は、職権で未成年後見人を選任することができる。,×,未成年後見人が欠けたときは、家庭裁判所は、未成年被後見人又は「その親族その他の利害関係人の請求によって」、未成年後見人を選任する（民法840条1項）。職権ではない。,,
令和5年度午前第21問,民法,ウ,未成年後見人が数人選任されている場合であっても、各未成年後見人は、未成年被後見人の身上の監護に関する権限を単独で行使することができる。,×,未成年後見人が数人ある場合、財産に関する権限の行使は家庭裁判所が共同行使や分掌を定めることができるが（民法859条の2）、身上監護等の行使については数人が共同して行使しなければならない場合があるため、常に単独行使できるわけではない。,,
令和5年度午前第21問,民法,エ,家庭裁判所は、法人を未成年後見人に選任することができる。,○,法人は後見人になることができる（民法840条3項で準用する843条4項）。,,
令和5年度午前第21問,民法,オ,親権を喪失した父又は母は、未成年後見人の選任を家庭裁判所に請求することができない。,×,親権を喪失した父又は母であっても、子の親族等の「利害関係人」に当たるため、未成年後見人の選任を請求することができる。,,
令和5年度午前第22問,民法,ア,限定承認者は、受遺者に弁済をした後でなければ、相続債権者に弁済をすることができない。,×,限定承認者は、相続債権者に対して弁済をした「後」でなければ、受遺者に対して弁済をすることができない（民法931条）。順序が逆である。,,
令和5年度午前第22問,民法,イ,民法第927条第1項の期間内に同項の申出をしなかった相続債権者及び受遺者で限定承認者に知れなかったものは、相続財産について特別担保を有する場合を除き、残余財産についてのみその権利を行使することができる。,○,除斥された債権者等の取扱いに関する規定の通りである（民法935条）。,,
令和5年度午前第22問,民法,ウ,限定承認をした相続人が数人ある場合には、家庭裁判所は、相続人の中から、相続財産の清算人を選任しなければならない。,○,相続人が数人ある場合において限定承認がされたときは、家庭裁判所は、相続人の中から相続財産の清算人を選任しなければならない（民法936条1項）。,,
令和5年度午前第22問,民法,エ,民法第927条第1項の期間が満了した後は、限定承認者は、弁済期に至らない債権であっても、相続財産をもって、その期間内に同項の申出をした相続債権者その他知れている相続債権者に、それぞれその債権額の割合に応じて弁済をしなければならない。,○,期間満了後の弁済（民法929条）、および弁済期に至らない債権の弁済（民法930条1項）についての規定の通りである。,,
令和5年度午前第22問,民法,オ,限定承認をした共同相続人の一人が相続財産を処分したときは、相続債権者は、相続財産をもって弁済を受けることができなかった債権額について、共同相続人の全員に対し、その相続分に応じて権利を行使することができる。,×,相続財産を処分した相続人は単純承認をしたものとみなされ、固有財産をもって弁済する責任を負うが（民法921条1号等）、処分をしていない「他の」共同相続人までが限定承認の効力を失い責任を負うわけではない。,,
令和5年度午前第23問,民法,ア,被相続人が、生前、その所有する不動産を推定相続人の一人に贈与したが、その旨の登記が未了の間に、他の推定相続人に当該不動産の特定遺贈をし、その後相続の開始があった場合、当該贈与と遺贈による物権変動の優劣は、登記の具備の有無によって決まる。,○,生前贈与と特定遺贈は、いずれも物権変動を生じさせる対抗関係（二重譲渡類似）に立つため、その優劣は登記の先後によって決する（最判昭46.11.16）。,,
令和5年度午前第23問,民法,イ,遺言は、二人以上の者が同一の証書ですることもできる。,×,2人以上の者が同一の証書でする遺言（共同遺言）は、禁止されており無効である（民法975条）。,,
令和5年度午前第23問,民法,ウ,受遺者は、遺言者の死亡前であっても、遺贈の放棄をすることができる。,×,遺贈は遺言者の死亡によって効力を生じるため、受遺者は「遺言者の死亡後」いつでも遺贈の放棄をすることができる（民法986条1項）。死亡前は不可。,,
令和5年度午前第23問,民法,エ,秘密証書による遺言について、その方式に欠けるものがある場合には、当該遺言は、自筆証書による遺言の方式を具備しているときであっても、自筆証書による遺言として有効とはならない。,×,秘密証書による遺言がその方式に欠けるものであっても、自筆証書遺言の要件を備えているときは、自筆証書遺言として効力を有する（無効行為の転換・民法971条）。,,
令和5年度午前第23問,民法,オ,疾病その他の事由によって死亡の危急に迫った者が特別の方式によってした遺言は、法定の期間内に、証人の一人又は利害関係人から家庭裁判所に請求してその確認を得なければ、その効力を生じない。,○,一般危急時遺言は、遺言の日から20日以内に証人の一人又は利害関係人から家庭裁判所に請求してその確認を得なければ、効力を生じない（民法976条4項）。,,
令和5年度午前第24問,刑法,ア,貿易商を営む外国人Aは、外国人Bから日本での絵画の買付けを依頼され、その代金として日本国内の銀行に開設したAの銀行口座に振り込まれた金銭を、日本国内において、業務のため預かり保管中、これを払い出して、日本人Cに対する自己の借金の返済に費消した。この場合、Aには、我が国の刑法が適用され、業務上横領罪が成立する。,○,日本国内において行われた犯罪であるため、行為者が外国人であっても属地主義（刑法1条1項）により日本の刑法が適用される。,,
令和5年度午前第24問,刑法,イ,外国人Aは、外国のホテルの客室内において、観光客である日本人Bに対し、けん銃を突きつけて脅した上で持っていたロープでBを緊縛し、反抗を抑圧されたBから現金等在中の財布を強奪した。この場合、Aには、我が国の刑法の適用はなく、強盗罪は成立しない。,×,日本国民に対して犯された一定の重大犯罪（強盗罪など）については、行為者が外国人であっても国民の国外犯として日本の刑法が適用される（刑法3条の2）。「適用はなく」は誤り。,,
令和5年度午前第24問,刑法,ウ,外国人Aは、日本国内で使用する目的で、外国において、外国で発行され日本国内で流通する有価証券を偽造した。この場合、Aには、我が国の刑法が適用され、有価証券偽造罪が成立する。,○,有価証券偽造罪は、日本国外において犯したすべての者（外国人を含む）に適用される保護主義の対象である（刑法2条4号）。,,
令和5年度午前第24問,刑法,エ,日本人Aは、外国において、現に外国人Bが住居として使用する木造家屋に放火して、これを全焼させた。この場合、Aには、我が国の刑法の適用はなく、現住建造物等放火罪は成立しない。,×,日本国民が国外で犯した放火罪等の一定の犯罪については、国民の国外犯として日本の刑法が適用される（刑法3条8号）。,,
令和5年度午前第24問,刑法,オ,外国人Aは、外国において、日本人Bに対し、外国人C名義の保証書を偽造してこれを行使し、借用名下にBから現金をだまし取った。この場合、Aには、我が国の刑法の適用はなく、私文書偽造・同行使・詐欺罪は成立しない。,○,詐欺罪や私文書偽造罪は、外国人による国外での犯罪（被害者が日本人であっても）について日本の刑法を適用する規定（刑法2条、3条の2等）がないため、我が国の刑法は適用されない。,,
令和5年度午前第25問,刑法,1,教唆犯を教唆した者には、教唆犯は成立しない。,×,人を教唆して犯罪を実行させた者を教唆した者（間接教唆）も、教唆犯として処罰される（刑法61条2項）。,,
令和5年度午前第25問,刑法,2,他人を唆して特定の犯罪を実行する決意を生じさせた場合には、唆された者が実際に当該犯罪の実行に着手しなくても、教唆犯が成立する。,×,共犯従属性の原則により、教唆された者（正犯）が犯罪の実行に着手しなければ、教唆犯は成立しない（未遂にもならない）。,,
令和5年度午前第25問,刑法,3,拘留又は科料のみに処すべき罪を教唆した者は、特別の規定がなくても、教唆犯として処罰される。,×,拘留又は科料のみに処すべき罪の教唆者及び従犯は、特別の規定がなければ罰しない（刑法64条）。,,
令和5年度午前第25問,刑法,4,不作為により正犯の実行行為を容易にさせた場合には、幇助犯は成立しない。,×,作為義務を負う者が、不作為によって正犯の実行行為を容易にした場合（例：見張りがわざと見逃すなど）には、不作為による幇助犯が成立し得る。,,
令和5年度午前第25問,刑法,5,幇助者と正犯との間に意思の連絡がなく、正犯が幇助者の行為を認識していない場合であっても、正犯の実行行為を容易にさせる行為をしたときは、幇助犯が成立する。,○,いわゆる片面的幇助。正犯者が幇助されていることを認識していなくても、客観的に実行を容易にし、かつ幇助の意思があれば幇助犯は成立する（最判昭28.12.18）。,,
令和5年度午前第26問,刑法,1,Aは、同居の長男BがBの先輩であるCと共謀の上起こした強盗事件に関して、Bから頼まれて、Cの逮捕を免れさせるためにのみ、B及びCの両名が犯行の計画について話し合った内容が録音されたICレコーダーを破壊して自宅の裏庭に埋めて隠匿した。この場合、Aは、証拠隠滅罪の刑が免除される。,×,親族間の犯罪の特例（刑法105条）は、犯人又は逃亡した親族をかくまう等の行為につき「その刑を免除することができる」という裁量免除の規定であり、「免除される」という必要的免除ではない。,,
令和5年度午前第26問,刑法,2,Aは、先輩であるBと共謀して、Bと不仲であったBの同居の実母Cの金庫内から、C所有の現金を盗んだ。この場合、Aは、窃盗罪の刑が免除される。,×,親族相盗例の規定（刑法244条）は、親族関係のある者についてのみ適用される。被害者Cと親族関係がないAには適用されず刑は免除されない（刑法244条3項）。,,
令和5年度午前第26問,刑法,3,Aは、ギャンブルで借金を抱えており、同居の内縁の妻Bが所有する宝石を盗んで売却した。この場合、Aは、窃盗罪の刑が免除される。,×,親族相盗例における「配偶者」には、法律上の配偶者に限られ、内縁の配偶者は含まれないため、免除の対象とはならない（最決平18.8.30）。,,
令和5年度午前第26問,刑法,4,Aは、情を知って、同居の長男Bの依頼を受け、Bの友人であるCが窃取し、BがCから有償で譲り受けた普通乗用自動車を運搬した。この場合、Aには、盗品等運搬罪が成立し、その刑は免除されない。,○,盗品等関与罪における親族間の特例（刑法257条1項）は、「本犯（窃盗犯C）」との間に親族関係がある場合に適用される。本犯でないBとの間に親族関係があっても免除されない（最決平14.6.25）。,,
令和5年度午前第26問,刑法,5,Aは、家庭裁判所から同居の実父Bの成年後見人に選任されたものであるが、自己の経営する会社の運転資金に充てるために、Aが成年後見人として管理しているB名義の銀行口座から預金を全額引き出して、これを着服した。この場合、Aは、業務上横領罪の刑が免除される。,×,成年後見人が被後見人の財産を横領した場合、家庭裁判所から選任された公的立場にあることから、親族相盗例は適用されず刑は免除されない（最決平24.10.9）。,,
令和5年度午前第27問,会社法・商法,ア,株式会社の設立時の資本金の額は、300万円を下回ることはできません。,×,会社法の施行により最低資本金制度は撤廃されており、資本金の額が300万円（または1000万円）を下回る1円等でも設立することができる。,,
令和5年度午前第27問,会社法・商法,イ,会社法上、法人は、発起人となることができますが、未成年者は、発起人となることはできません。,×,法人も発起人となることができるし、未成年者であっても法定代理人の同意等があれば発起人となることができる。発起人の資格に制限はない。,,
令和5年度午前第27問,会社法・商法,ウ,会社法上、募集設立の場合には、発起人でない設立時募集株式の引受人は、割当てを受けた設立時募集株式について、現物出資をすることはできません。,○,募集設立において、設立時募集株式の引受人は金銭の払込みをしなければならないとされており（会社法63条1項）、現物出資をすることができるのは発起人に限られる。,,
令和5年度午前第27問,会社法・商法,エ,会社法上、発起人は、発起設立の場合も、募集設立の場合も、払込取扱機関に対し、払い込まれた金額に相当する金銭の保管に関する証明書の交付を請求することができます。,×,払込金の保管に関する証明書（払込金保管証明書）の交付を請求する制度（会社法64条1項）は、募集設立の場合に適用され、発起設立の場合は残高証明書等で足りるため必須ではない。,,
令和5年度午前第27問,会社法・商法,オ,株式会社は、その本店の所在地において設立の登記をすることによって成立するものとされています。,○,株式会社は、その本店の所在地において設立の登記をすることによって成立する（会社法49条）。,,
令和5年度午前第28問,会社法・商法,ア,株式会社が、その発行する全部の株式ではなく、一部の株式についてのみ、その内容として譲渡による当該株式の取得について当該株式会社の承認を要する旨の定款の定めを設けていない場合であっても、当該株式会社は、会社法上の公開会社である。,○,公開会社とは、発行する全部又は一部の株式について譲渡制限の定めを設けていない会社をいう（会社法2条5号）。一部でも譲渡自由な株式があれば公開会社である。,,
令和5年度午前第28問,会社法・商法,イ,会社法上の公開会社でない取締役会設置会社においては、取締役会の決議によるほか株主総会の決議によっても代表取締役を選定することができる旨の定款の定めは、有効である。,○,取締役会設置会社において、取締役会の決議だけでなく、株主総会の決議によっても代表取締役を選定することができる旨の定款の定めは有効であると解されている（最判平29.2.21）。,,
令和5年度午前第28問,会社法・商法,ウ,株式会社は、定款の変更を目的とする株主総会の決議について、総株主の議決権の3分の1以上を有する株主が出席し、出席した当該株主の議決権の過半数をもって行うことができる旨を定款で定めることができる。,×,定款変更は特別決議事項であり（会社法309条2項）、定足数は定款で3分の1まで軽減できるが、可決要件は「3分の2以上」でなければならず、過半数に引き下げることはできない。,,
令和5年度午前第28問,会社法・商法,エ,株式会社の資本金の額は、定款で定める必要はない。,○,定款の絶対的記載事項（会社法27条）に資本金の額は含まれていないため、定款で定める必要はない（設立に際して出資される財産の価額等は必要）。,,
令和5年度午前第28問,会社法・商法,オ,株式会社の債権者は、当該株式会社の定款の閲覧の請求をする場合には、当該請求の理由を明らかにしてしなければならない。,×,債権者は、営業時間内はいつでも定款の閲覧・謄写等の請求をすることができ（会社法31条2項2号）、請求の理由を明らかにする必要はない（株主や債権者の権利として当然に認められる）。,,
令和5年度午前第29問,会社法・商法,ア,会社法上の公開会社は、ある種類の株式の株主が一株につき複数個の議決権を有することを内容とする種類の株式を発行することができる。,×,公開会社は、種類株式として1株につき複数議決権を有するような株式を発行することはできない（会社法108条1項3号、109条、114条等。議決権制限株式の発行は可能だが議決権増加は不可）。,,
令和5年度午前第29問,会社法・商法,イ,株主総会において決議をすることができる事項の全部につき議決権を行使することができない種類の株式の株主であっても、当該種類の株式の種類株主を構成員とする種類株主総会においては議決権を行使することができる。,○,完全無議決権株式の株主であっても、その種類株主総会（例：当該種類株式に不利益を及ぼす場合の決議等）においては議決権を行使することができる。,,
令和5年度午前第29問,会社法・商法,ウ,種類株主総会は、毎事業年度の終了後一定の時期に招集しなければならない。,×,定時株主総会（毎事業年度終了後一定時期の招集）の制度は、全株主で構成される株主総会についてのものであり、種類株主総会は必要な場合にのみ招集される。,,
令和5年度午前第29問,会社法・商法,エ,内容の異なる二以上の種類の株式を発行する株式会社は、一の種類の株式を取得条項付株式とし、その内容として、当該種類の株式一株を取得するのと引換えに他の種類の株式を交付することを定めることができる。,○,取得条項付株式の取得の対価として、他の種類の株式を交付する旨を定めることができる（会社法107条2項2号、108条2項6号）。,,
